id,target,atom1,atom2,s1,p1,dblock1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,vol1,top1,s2,p2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,vol2,top2,A-B,AB-gap,AB-bondlen,n_nbr
mp-1039,2.3612,Mg,Te,-0.175427,-1.71897,0,2,1.73,0.86,1.41,1.31,0.78,2,3,14,-0.175427,-0.520997,-0.226594,6,2.06,1.293333333,1.38,2.1,2.58,16,5,20.46,-0.226594,0.051167,-1.6653288,2.801156443,5
mp-1541,2.6637,Be,Se,-0.205744,0,0,2,1.53,0.59,0.96,1.57,1.42,2,2,4.85,-0.205744,-0.621248,-0.245806,6,1.9,1.013333333,1.2,2.55,3.09,16,4,16.42,-0.245806,0.040062,-2.1188568,2.237782138,4
mp-1008223,3.1661,Ca,Se,-0.141411,-1.030572,0,2,2.31,1.14,1.76,1,0.04,2,4,26.2,-0.141411,-0.621248,-0.245806,6,1.9,1.013333333,1.2,2.55,3.09,16,4,16.42,-0.245806,0.104395,-1.746328,2.857883835,4
mp-1185942,3.3878,Mg,S,-0.175427,-1.71897,0,2,1.73,0.86,1.41,1.31,0.78,2,3,14,-0.175427,-0.630912,-0.261676,6,1.8,0.88,1.05,2.58,3.31,16,3,15.53,-0.261676,0.086249,-2.2148136,2.446978999,5
mp-661,4.0467,Al,N,-0.286883,-0.102545,0,3,1.84,0.675,1.21,1.61,0.35,13,3,10,-0.102545,-0.676151,-0.266297,5,1.55,0.63,0.71,3.04,4.38,15,2,13.54,-0.266297,-0.020586,-4.3266696,1.9017283,5
mp-1639,4.4506,B,N,-0.344701,-0.136603,0,3,1.92,0.41,0.84,2.04,1.6,13,2,4.39,-0.136603,-0.676151,-0.266297,5,1.55,0.63,0.71,3.04,4.38,15,2,13.54,-0.266297,-0.078404,-5.5168944,1.570104921,4
mp-2653,5.1976,B,N,-0.344701,-0.136603,0,3,1.92,0.41,0.84,2.04,1.6,13,2,4.39,-0.136603,-0.676151,-0.266297,5,1.55,0.63,0.71,3.04,4.38,15,2,13.54,-0.266297,-0.078404,-6.2638944,1.567109869,5
mp-1778,6.8477,Be,O,-0.205744,0,0,2,1.53,0.59,0.96,1.57,1.42,2,2,4.85,-0.205744,-0.871362,-0.338381,6,1.52,1.26,0.66,3.44,4.8,16,2,17.36,-0.338381,0.132637,-5.0438368,1.644370389,4
mp-1185301,7.4776,F,Li,-0.10554,0,0,1,1.82,0.9,1.28,0.98,0.06,1,2,13.02,-0.10554,-1.086859,-0.415606,7,1.47,0.705,0.57,3.98,7.31,17,2,11.2,-0.415606,0.310066,-3.2607024,1.848403115,5
mp-8883,0.2238,As,Ga,-0.328019,-0.101634,1,3,1.87,0.76,1.22,1.81,0.15,13,4,11.8,-0.101634,-0.52367,-0.197497,5,1.85,0.66,1.19,2.18,2.49,15,4,12.95,-0.197497,-0.130522,-1.9988992,2.450419722,5
mp-22913,0.4871,Br,Cu,-0.172056,-2.609244,1,1,1.96,0.82,1.32,1.9,1.31,11,4,7.11,-0.172056,-0.720066,-0.295334,7,1.85,0.8825,1.2,2.96,4.73,17,4,19.78,-0.295334,0.123278,1.1894808,2.449809579,4
mp-966800,0.5134,In,P,-0.290497,-0.101782,1,3,1.93,0.94,1.42,1.78,-0.22,13,5,15.76,-0.101782,-0.512364,-0.20608,5,1.8,0.55,1.07,2.19,2.69,15,3,17.02,-0.20608,-0.084417,-1.6614712,2.554733509,5
mp-1070,0.5724,Cd,Se,-0.204228,-2.39526,1,2,2.18,1.09,1.44,1.69,0.83,12,5,13,-0.204228,-0.621248,-0.245806,6,1.9,1.013333333,1.2,2.55,3.09,16,4,16.42,-0.245806,0.041578,-0.0069392,2.658875907,5
