id,target,atom1,atom2,s1,p1,d1,f1,occ_s1,occ_p1,occ_d1,occ_f1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,top1,sblock1,pblock1,dblock1,fblock1,s2,p2,d2,f2,occ_s2,occ_p2,occ_d2,occ_f2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,top2,sblock2,pblock2,dblock2,fblock2,bondlen,n_nbr
mp-1500,2.1488,S,Ba,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.118967,-0.698605,0,0,2,0,0,0,2,2.68,1.49,2.15,0.89,-0.36,2,6,-0.118967,1,0,0,0,3.22567527,6
mp-2646978,0.1887,N,Ga,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.328019,-0.101634,-0.736204,0,2,1,10,0,3,1.87,0.76,1.22,1.81,0.15,13,4,-0.101634,0,1,0,0,1.977242471,6
mp-2229,0.7219,O,Zn,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.222725,-3.022363,-0.398944,0,2,0,10,0,2,2.01,0.88,1.22,1.65,1,12,4,-0.222725,0,0,1,0,2.169442001,6
mp-571102,2.2086,I,Tl,-0.596339,-0.267904,-1.938179,0,2,5,10,0,7,1.98,1.273333333,1.39,2.66,3.82,17,5,-0.267904,0,1,0,0,-0.28502,-0.101507,-0.674544,-4.835747,2,1,10,14,3,1.96,1.3325,1.45,1.62,0.07,13,6,-0.101507,0,1,0,0,3.521030759,6
mp-569639,2.5369,Cl,Tl,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.28502,-0.101507,-0.674544,-4.835747,2,1,10,14,3,1.96,1.3325,1.45,1.62,0.07,13,6,-0.101507,0,1,0,0,3.219550628,6
mp-1273331,0.8225,O,V,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.175968,-1.610516,-0.204634,0,2,0,3,0,2,2.07,0.7775,1.53,1.63,0.73,5,4,-0.175968,0,0,1,0,2.196473167,6
mp-23193,5.027,Cl,K,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.088815,-0.693776,0,0,1,0,0,0,1,2.75,1.52,2.03,0.82,-0.99,1,4,-0.088815,1,0,0,0,3.141871248,6
mp-22916,4.0895,Br,Na,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.103415,-1.060636,0,0,1,0,0,0,1,2.27,1.16,1.66,0.93,-0.03,1,3,-0.103415,1,0,0,0,2.961542041,6
mp-21276,0.4667,S,Pb,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.357187,-0.141831,-0.902393,-5.592532,2,2,10,14,4,2.02,1.1225,1.46,2.33,0.86,14,6,-0.141831,0,1,0,0,2.986506353,6
mp-1180106,0.3534,S,Na,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.103415,-1.060636,0,0,1,0,0,0,1,2.27,1.16,1.66,0.93,-0.03,1,3,-0.103415,1,0,0,0,2.63347689,6
mp-1227290,0.1101,Sb,Bi,-0.445605,-0.185623,-1.297338,0,2,3,10,0,5,2.06,0.83,1.39,2.05,1.95,15,5,-0.185623,0,1,0,0,-0.426129,-0.180198,-1.139408,-6.382744,2,3,10,14,5,2.07,1.035,1.48,2.02,1.22,15,6,-0.180198,0,1,0,0,3.005713598,6
mp-2117,0.0134,N,Tb,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.131677,-0.88723,0,-0.256311,2,0,0,9,2,2.33,0.9815,1.94,1.1,0.27,3,6,-0.131677,0,0,0,1,2.462674956,6
mp-11718,5.5244,F,Rb,-1.086859,-0.415606,0,0,2,5,0,0,7,1.47,0.705,0.57,3.98,7.31,17,2,-0.415606,0,1,0,0,-0.085375,-0.59217,0,0,1,0,0,0,1,3.03,1.66,2.2,0.82,-0.79,1,5,-0.085375,1,0,0,0,2.816141526,6
mp-23295,4.8388,Cl,Rb,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.085375,-0.59217,0,0,1,0,0,0,1,3.03,1.66,2.2,0.82,-0.79,1,5,-0.085375,1,0,0,0,3.308707175,6
mp-1102,0.2331,N,Lu,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.155112,-1.111991,-0.103686,-0.568096,2,0,1,14,2,2.24,1.001,1.87,1.27,-0.24,3,6,-0.103686,0,0,1,0,2.361976115,6
mp-1315,2.7574,S,Mg,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.175427,-1.71897,0,0,2,0,0,0,2,1.73,0.86,1.41,1.31,0.78,2,3,-0.175427,1,0,0,0,2.604397505,6
