id,target,atom1,atom2,s1,p1,d1,f1,occ_s1,occ_p1,occ_d1,occ_f1,valence1,vdw1,ionic1,covalent1,e_neg1,hardness1,group1,row1,top1,sblock1,pblock1,dblock1,fblock1,s2,p2,d2,f2,occ_s2,occ_p2,occ_d2,occ_f2,valence2,vdw2,ionic2,covalent2,e_neg2,hardness2,group2,row2,top2,sblock2,pblock2,dblock2,fblock2,bondlen,n_nbr
mp-1287184,1.9785,O,V,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.175968,-1.610516,-0.204634,0,2,0,3,0,2,2.07,0.7775,1.53,1.63,0.73,5,4,-0.175968,0,0,1,0,2.149365848,6
mp-1883,0.0419,Te,Sn,-0.520997,-0.226594,-1.608381,0,2,4,10,0,6,2.06,1.293333333,1.38,2.1,2.58,16,5,-0.226594,0,1,0,0,-0.369349,-0.14445,-1.004952,0,2,2,10,0,4,2.17,0.83,1.39,1.96,1.27,14,5,-0.14445,0,1,0,0,3.185812957,6
mp-571386,0.3261,Cl,Cu,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.172056,-2.609244,-0.202272,0,1,0,10,0,1,1.96,0.82,1.32,1.9,1.31,11,4,-0.172056,0,0,1,0,2.555898003,6
mp-1216,3.4606,O,Yb,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.136989,-0.966137,0,-0.286408,2,0,0,14,2,2.26,1.084,1.87,1.1,-0.19,3,6,-0.136989,0,0,0,1,2.33583193,6
mp-24084,3.4331,H,K,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,-0.088815,-0.693776,0,0,1,0,0,0,1,2.75,1.52,2.03,0.82,-0.99,1,4,-0.088815,1,0,0,0,2.836248656,6
mp-10760,1.7609,Se,Mg,-0.621248,-0.245806,-2.011392,0,2,4,10,0,6,1.9,1.013333333,1.2,2.55,3.09,16,4,-0.245806,0,1,0,0,-0.175427,-1.71897,0,0,2,0,0,0,2,1.73,0.86,1.41,1.31,0.78,2,3,-0.175427,1,0,0,0,2.733723266,6
mp-570354,0.2019,Br,Cu,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.172056,-2.609244,-0.202272,0,1,0,10,0,1,1.96,0.82,1.32,1.9,1.31,11,4,-0.172056,0,0,1,0,2.682763001,6
mp-1057015,1.0366,S,Pb,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.357187,-0.141831,-0.902393,-5.592532,2,2,10,14,4,2.02,1.1225,1.46,2.33,0.86,14,6,-0.141831,0,1,0,0,2.955603741,6
mp-730522,2.4739,Br,H,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,1.639115268,6
mp-1410,0.0431,N,Dy,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.132769,-0.90349,0,-0.265302,2,0,0,10,2,2.31,1.131,1.92,1.22,0.27,3,6,-0.132769,0,0,0,1,2.444517135,6
mp-1330,4.4175,N,Al,-0.676151,-0.266297,0,0,2,3,0,0,5,1.55,0.63,0.71,3.04,4.38,15,2,-0.266297,0,1,0,0,-0.286883,-0.102545,0,0,2,1,0,0,3,1.84,0.675,1.21,1.61,0.35,13,3,-0.102545,0,1,0,0,2.034518001,6
mp-23703,2.981,H,Li,-0.233471,0,0,0,1,0,0,0,1,1.1,0,0.31,2.2,4.32,1,1,-0.233471,1,0,0,0,-0.10554,0,0,0,1,0,0,0,1,1.82,0.9,1.28,0.98,0.06,1,2,-0.10554,1,0,0,0,2.008619123,6
mp-1228677,1.296,Cl,Au,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.162334,-2.002495,-0.304738,-3.486824,1,0,10,14,1,2.14,1.07,1.36,2.54,3.01,11,6,-0.162334,0,0,1,0,2.336571803,6
mp-571222,4.2575,Br,Cs,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.078699,-0.504903,0,0,1,0,0,0,1,3.43,1.81,2.44,0.79,-1.35,1,6,-0.078699,1,0,0,0,3.661034985,6
mp-2472,3.2748,O,Sr,-0.871362,-0.338381,0,0,2,4,0,0,6,1.52,1.26,0.66,3.44,4.8,16,2,-0.338381,0,1,0,0,-0.131793,-0.844489,0,0,2,0,0,0,2,2.49,1.32,1.95,0.95,-0.18,2,5,-0.131793,1,0,0,0,2.583784406,6
mp-1181862,0.2766,S,Cd,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.204228,-2.39526,-0.47053,0,2,0,10,0,2,2.18,1.09,1.44,1.69,0.83,12,5,-0.204228,0,0,1,0,2.755746,6
mp-573697,4.8482,Cl,Cs,-0.754458,-0.32038,0,0,2,5,0,0,7,1.75,0.78,1.02,3.16,5.37,17,3,-0.32038,0,1,0,0,-0.078699,-0.504903,0,0,1,0,0,0,1,3.43,1.81,2.44,0.79,-1.35,1,6,-0.078699,1,0,0,0,3.506550779,6
mp-23259,4.9025,Br,Li,-0.720066,-0.295334,-2.52211,0,2,5,10,0,7,1.85,0.8825,1.2,2.96,4.73,17,4,-0.295334,0,1,0,0,-0.10554,0,0,0,1,0,0,0,1,1.82,0.9,1.28,0.98,0.06,1,2,-0.10554,1,0,0,0,2.722690452,6
mp-1087,2.497,S,Sr,-0.630912,-0.261676,0,0,2,4,0,0,6,1.8,0.88,1.05,2.58,3.31,16,3,-0.261676,0,1,0,0,-0.131793,-0.844489,0,0,2,0,0,0,2,2.49,1.32,1.95,0.95,-0.18,2,5,-0.131793,1,0,0,0,3.024016683,6
